code;name;
0-100 MM;DIAL INDICATOR;
0-1000PSI;PRESSURE GAUGE INDICATOR;
0-100KG;HINGE SCALE;
0-100LBS;DYNAMETER SCALE INDICATOR;
0-100MM;DIAL INDICATOR;
0-100PSI; PRESSURE INDICATOR;
0-160PSI;PRESSURE GAUGE;
0-18INCH;VERNIER CALIPER;
0-200MM;VERNIER CAPLIER;
0-200PSI;PRESSURE GAUGE;
0-220PSI;TYRE PRESS GAUGE;
0-250 PSI;TYRE PRESS.GAUGE;
0-250PSI;TYRE PRESSURE GAUGE;
0-260 FAHRENHEIT;TEMP.GAUGE IND;
0-260FAHRENHEIT;TEMPERATURE GAUGE INDICATOR;
0-30 KGM;TORQUE WRENCH;
0-300A;AMPERE METER;
0-300IN/LB;TORQUE WRENCH;
0-350 LB IN;PRESS.GAUGE;
0-350LB/IN;PRESSURE GAUGE;
0-4000 PSI;PRESSURE GAUGE;
0-4000PSI;PRESSURE GAUGE;
0-400BAR;PRESSURE GAUGE;
0-500 PSI;PRESS.INDICATOR;
0-5000AMP;AMPERE METER;
0-500PSI;INDICATOR PRESSURE;
0-50BAR;PNEUMATIC PRESSURE INDICATOR;
0-50IN/LBS;TORQUE WRENCH;
0-521-306;OXYGEN REGULATOR;
0-6000 PSI;PRESSURE GAUGE;
0-6000PSI;PRESSURE GAUGE;
0-600A;LOAD AMPERE METER;
0-600LB/INCH;TORQ PRESSURE GAUGE INDICATOR;
0-600PSI;PNEUMATIC PRESSURE INDICATOR;
0-6INCH;VERNIER CAPLIER;
0-85 PSI;PRESSURE GAUGE;
0-85PSI;PRESSURE GAUGE;
00-2407;FWD Attendant Seat;
32058;LIFE RAFT;
612;BABY FLOATING;
00145-049-000;PRESURE REDUCE 10-200BAR;
00145-050-000;PRESURE REDUCE 2.5-50BAR;
00180-027-000;HYD. CYLINDER;
0030AH1;INDICATOR AOA;
00443-132-000;GUIDE BUSHING;
005-00107-0030;MOTOR DC;
006-3114-01;INDICATOR;
01-0154-00;TEST SET ADF;
010-00075-00;GPS RECEIVER;
010-10040-01;ANTENNA GPS KIT;
0104KLS1;SENSOR LEVEL;
011-00013-00;ANTENNA GPS KIT;
011-00014-00;RACK ASSY;
011-00017-00;GPS RECEIVER;
011-00106-00;GPS RECEIVER;
011-00106-01;GPS Receiver;
011-00134-00;ANTENNA GPS KIT;
013-1885-010;ANTENNA;
152978;EXTINGUISHER FIRE;
01653-120;EXTINGUISHER FIRE;
0179-0023-637;TIMER-CYCLIC;
18896;LIFE RAFT;
20;SCR DRIVER;
020-960-001;UNIT-GAGING;
020-960-011;UNIT-GAGING;
020-960-012;UNIT-GAGING;
0201KSS01;BOX SWITCHING;
0202KIP04-002;PROCESSR COMBIND TTL;
20505;FAN;
0209KTU01;PROBE ASSY-TANK # 2;
0209KTU02;PROBE ASSY-TANK # 3;
0209KTU03;PROBE ASSY-TANK # 4;
0209KTU04;PROBE ASSY-TANK # 5;
0209KTU05;PROBE ASSY-TANK # 6;
0209KTU06;PROBE ASSY-TANK # 7;
0209KTU07;PROBE ASSY-TANK # 8;
0209KTU09;PROBE ASSY-TANK # 10;
0209KTU10;PROBE ASSY-TANK # 9;
021-922-001;UNIT-GAGING FUEL;
021-922-011;UNIT-GAGING FUEL;
021-960-001;UNIT-GAGING FUEL;
021-960-011;UNIT-GAGING FUEL;
0210KTU01;PROBE ASSY TANK 1;
024800-104-02;FUEL PUMP;
025323-101-01;FUEL PUMP;
025323-101-02;FUEL PUMP;
025323-101-03;FUEL PUMP;
2597;LOW T/P SWITCH;
26546;GEAR QUIL BOX;
270307;IGNITER PLUG;
0270KTU01;TANK CENTER ASSY;
0270KTU02;TANK CENTER ASSY;
27782;INSTRUMENT COOLING FAN;
27871;INSTRUMENT COOLING FAN;
02833020-1;HOLDER LAMP ASSY;
02833020-2;HOLDER LAMP ASSY;
030-012;TEST BOX;
030-17000;BRAKE ASSEMBLY;
34787;FAN COOLING;
35182;BLOWER ASSY;
35183;SENSOR LOW SPEED;
040-21100;MAIN WHEEL ASSY;
040-21101;MAIN WHEEL ASSY;
0401KFP01-002;PANEL REFUEL;
4077;AIR DATA COMPUTER 8800M;
0479-279;FUEL  PRESSURE TRANSMITTER;
4867;FUEL DIFFERENTIAL PRESS SWITCH;
491;HAND MIKE;
0491-01-0000;GALLEY;
0501147-1;REGULATOR TENSTION;
0501148-01;TENSTION REGULATOR;
05167-19904701;GAGE PRESS DIAL INDICATOR;
5407;SWITCH FUEL DIF.;
0555-11;ELECTRIC MOTOR;
060-00026-0000;VERTICAL GYRO;
060-4199-210;EGPWS;
060-4199-211;EO EGPWS INSTALLATION F28;
060-4199-212;EO EGPWS INSTALL DHC;
060-4199-213;EO EGPWS INSTALL CA2;
064-1005-02;TRANSCEIVER VHF COMM;
064-1005-14;VHF COMM RXRX;
064-1015-00;HF EXCITER;
064-1015-01;TRANSCEIVER HF;
064-1016-01;UNIT HF CONTROL;
064-1016-03;KCU 951 CONTROL UNIT;
064-1017-01;COUPLER ANTENNA;
064-1017-02;TUNER-HF;
064-1023-00;VHF Transceiver;
064-1023-02;VHF Transceiver;
064-1047-00;TRANSCEIVER-VHF;
064-1061-01;CONTROL HEAD;
066-01127-1101;ATC TRANSPONDER;
066-01127-1301;ATC TRANSPONDER;
066-01143-1602;XPDR  MD  S/TCAS;
066-01146-1211;TCAS PROCESSOR;
066-01153-0101;TRANSCEIVER RADION ALTIMETER;
066-01171-2704;TA/RA/VSI;
066-1101-10;RECEIVER-VHF NAV;
066-1149-00;VHF NAVIGASI RX;
066-3031-01;RADIO ALTIMETER INDICATOR;
066-3031-02;RADIO  INDICATOR;
066-3114-01;INDICATOR WEATHER RADAR;
066-50000-2120;TCAS PROCESSOR;
066-50001-1001;VSI INDICATOR;
066-50008-0407;RTA-4B Receiver-Transmitter;
069-1026-01;HAND COMM;
071-0003-00;MARKER BEACON;
071-01503-02-01;UNKNOWN-22;
071-01503-0201;ATC CTRL TRANSPONDER;
071-1282-64-39;KFS598A CONTROL UNIT;
071-1378-00;ANTENNA TRANSCEIVER;
071-1501-00;ANTENNA;
071-50001-8102;TCAS ANTENNA;
071?1507?5102;TCAS DUAL RANGE;
726150;REFUELING UNIT;
0729-11-0000;GALLEY UNIT;
07300-450;ANTENNA;
077-902-001;JUNCTION BOX;
080-20325-01;RECTIFR UNIT TRANSF.;
0829KEL06-148;UNIT-ENG HEALT MONIT;
0856AE16;PITOT STATIC PROBE;
0856AE18;LH AUX PITOT STATIC;
0871DF-1-1;UNKNOWN-23;
0871DF1-1;ICE DETECTOR;
08748-9-231-07;FUEL FLOW TX;
089-89ES;FIELD VOLTMETER;
0900-47190;UNKNOWN-24;
09000-41916;GLASS-SLIDNG WIND RH;
09000-41917;GLASS-SLIDNG WIND LH;
09000-47190;JET PIPE;
09018Y028;FORK END;
09060YAD1;UNKNOWN-25;
09063YA01;UPLOCK-NOSE;
981;TORQUE METER;
1-145285-3;TOILET FLUSHING FWD;
1-145525-3;TOILET FLUSHING L/H;
1-145525-4;TOILET FLUSHING R/H;
1/2-2-81-224;FLOW METER TRANSMITTER;
10-0049;EMERGENCY EXIT LIGHT;
10-0055-11;EMERGENCY LIGHT;
10-0067-7;EMERGENCY EXIT LIGHT;
10-0067-9;EMERGENCY EXIT LIGHT;
10-1069;INNER HUB;
10-1070;OUTER HUB;
10-1121-1;LIGHT EMERGENCY;
10-1178-32;PASSE PANEL ASSY;
10-1178-45;PASSE PANEL ASSY;
10-1178-47;PASSE PANEL ASSY;
10-1571-2;PASSE PANEL ASSY;
10-1571-3;PASSE PANEL ASSY;
10-301160-2;EXCITER IGNITION;
10-3061-1;BOOST PUMP MANUAL;
Oct-64;GLIDE SLOPE ANTENNA;
10-3067-3;SWITCH;
10-3067-502;LOW PRESS SWITCH;
10-3200-2;HYD S/O VALVE;
10-3204-23;VALVE;
10-3223-32;INDICATOR HYDRAULIC PRESSURE;
10-3223-33;INDICATOR HYDRAULIC PRESSURE;
10-3223-34;BRAKE PRESS INDICATOR;
10-3257-3;UNIT TRANSFORMER RECTIFIER;
10-3257-5;UNIT TRANSFORMER RECTIFIER;
10-3269-8;ENG.LOW OIL P.SWITCH;
10-3275-17;CONTAINER FIREXT ENG;
10-3275-23;CONTAINER FIREXT APU;
10-3275-24;CONTAINER FIREXT APU;
10-3275-3;TRANSFORMER;
10-3275-5;TRANSFORMER;
10-353875-4;IGNITER UNIT;
10-378160-5;IGNITION UNIT-HV;
10-378160-5E;IGNITION UNIT-HV;
10-378400-3;IGNITER UNIT;
10-378400-5;IGNITER UNIT;
10-381160-02;IGNITION EXCITER;
10-381160-2E;IGNITION EXCITER;
10-381160-2G;IGNITION EXCITER;
